"name","kind","source"
"XT_Init","callback","official-x-tensions-api"
"XT_Done","callback","official-x-tensions-api"
"XT_About","callback","official-x-tensions-api"
"XT_Prepare","callback","official-x-tensions-api"
"XT_Finalize","callback","official-x-tensions-api"
"XT_ProcessItem","callback","official-x-tensions-api"
"XT_ProcessItemEx","callback","official-x-tensions-api"
"XT_PrepareSearch","callback","official-x-tensions-api"
"XT_ProcessSearchHit","callback","official-x-tensions-api"
"XT_View","callback","official-x-tensions-api"
"XT_ReleaseMem","callback","official-x-tensions-api"
"XT_FileIO","callback","official-x-tensions-api"
"XT_SectorIOInit","callback","official-x-tensions-api"
"XT_SectorIO","callback","official-x-tensions-api"
"XT_SectorIODone","callback","official-x-tensions-api"
