"name","kind","source"
"XWF_AddComment","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_AddEvent","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_AddExtractedMetadata","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_AddSearchHit","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_AddSearchTerm","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_AddToReportTable","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_Close","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CloseContainer","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CloseEvObj","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CopyToContainer","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CreateContainer","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CreateEvObj","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CreateFile","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_CreateItem","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_DeleteEvObj","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_FindItem1","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetBlock","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetCaseProp","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetCellText","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetColumnTitle","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetComment","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetDriveInfo","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetEvent","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetEvObj","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetEvObjProp","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetEvObjReportTableAssocs","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetExtractedMetadata","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetFileCount","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetFirstEvObj","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetHashSetAssocs","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetHashValue","function","official-x-tensions-api-baseline-or-exported-21.8"
"XWF_GetItemCount","function","official-x-tensions-api-baseline-or-exported-21.8"
