name,in_binary_strings,documented,binary_ref_count,sample_locations
XT_ACTION_DBC,no,yes,0,
XT_ACTION_EVT,no,yes,0,
XT_ACTION_LSS,no,yes,0,
XT_ACTION_PSS,no,yes,0,
XT_ACTION_RUN,no,yes,0,
XT_ACTION_RVS,no,yes,0,
XT_ACTION_SHC,no,yes,0,
XT_About,yes,yes,1,winhexb64.exe@0x1a9970
XT_Done,yes,yes,1,winhexb64.exe@0x1afa7c
XT_FileIO,yes,yes,1,winhexb64.exe@0x1b05b0
XT_Finalize,yes,yes,1,winhexb64.exe@0x1af898
XT_INIT_ABOUTONLY,no,yes,0,
XT_INIT_ALTERED_SEARCH_PATH,no,yes,0,
XT_INIT_BETA,no,yes,0,
XT_INIT_QUICKCHECK,no,yes,0,
XT_INIT_WHX,no,yes,0,
XT_INIT_XWF,no,yes,0,
XT_INIT_XWI,no,yes,0,
XT_Init,yes,yes,3,winhexb64.exe@0x1af290; winhexb64.exe@0x1af298; winhexb64.exe@0x1af2d0
XT_PREPARE_CALLPI,no,yes,0,
XT_PREPARE_CALLPILATE,no,yes,0,
XT_PREPARE_DONTOMIT,no,yes,0,
XT_PREPARE_EXPECTMOREITEMS,no,yes,0,
XT_PREPARE_TARGETDIRS,no,yes,0,
XT_PREPARE_TARGETFILESWITHUNKNOWNDATA,no,yes,0,
XT_PREPARE_TARGETZEROBYTEFILES,no,yes,0,
XT_Prepare,yes,yes,1,winhexb64.exe@0x1af88d
XT_PrepareSearch,yes,yes,1,winhexb64.exe@0x1afdd0
XT_ProcessItem,yes,yes,1,winhexb64.exe@0x1af8a4
XT_ProcessItemEx,yes,yes,1,winhexb64.exe@0x1af8b3
XT_ProcessSearchHit,yes,yes,2,winhexb64.exe@0x1ae4ec; winhexb64.exe@0x1af8c4
XT_ReleaseMem,yes,yes,1,winhexb64.exe@0x1af85e
XT_SectorIO,yes,yes,1,winhexb64.exe@0x1b05a4
XT_SectorIODone,yes,yes,1,winhexb64.exe@0x1b05ba
XT_SectorIOInit,yes,yes,2,winhexb64.exe@0x1af8d8; winhexb64.exe@0x1b0594
XT_View,yes,yes,1,winhexb64.exe@0x1af856
XT_error,yes,no,1,winhexb64.exe@0x590e5a
XWF_AddComment,yes,yes,1,winhexb64.exe@0x61e737
XWF_AddEvent,yes,yes,1,winhexb64.exe@0x61e746
XWF_AddExtractedMetadata,yes,yes,1,winhexb64.exe@0x61e753
XWF_AddSearchHit,no,yes,0,
XWF_AddSearchTerm,yes,yes,1,winhexb64.exe@0x61e76c
XWF_AddToReportTable,yes,yes,1,winhexb64.exe@0x61e77e
XWF_CASEPROP_CREATION,no,yes,0,
XWF_CASEPROP_DIR,no,yes,0,
XWF_CASEPROP_EXAMINER,no,yes,0,
XWF_CASEPROP_FILE,no,yes,0,
XWF_CASEPROP_ID,no,yes,0,
XWF_CASEPROP_TITLE,no,yes,0,
XWF_CTR_ALLCOMMENTS,no,yes,0,
XWF_CTR_FILEPARENTS,no,yes,0,
XWF_CTR_INCLDIRDATA,no,yes,0,
XWF_CTR_OPEN,no,yes,0,
XWF_CTR_RESERVED,no,yes,0,
XWF_CTR_SECURE,no,yes,0,
XWF_CTR_SYSTEMREPORTTABLES,no,yes,0,
XWF_CTR_TOPLEVELDIR_COMPLETE,no,yes,0,
XWF_CTR_TOPLEVELDIR_PARTIAL,no,yes,0,
XWF_CTR_USERREPORTTABLES,no,yes,0,
XWF_Close,yes,yes,1,winhexb64.exe@0x61e793
XWF_CloseContainer,yes,yes,1,winhexb64.exe@0x61e79d
XWF_CloseEvObj,yes,yes,1,winhexb64.exe@0x61e7b0
XWF_CopyToContainer,yes,yes,1,winhexb64.exe@0x61e7bf
XWF_CreateContainer,yes,yes,1,winhexb64.exe@0x61e7d3
XWF_CreateEvObj,yes,yes,1,winhexb64.exe@0x61e7e7
XWF_CreateFile,yes,yes,1,winhexb64.exe@0x61e7f7
XWF_CreateItem,yes,yes,1,winhexb64.exe@0x61e806
XWF_DeleteEvObj,no,yes,0,
XWF_EDB,yes,no,1,winhexb64.exe@0x4f834c
XWF_FindItem1,yes,yes,1,winhexb64.exe@0x61e815
XWF_GetBlock,yes,yes,1,winhexb64.exe@0x61e823
XWF_GetCaseProp,yes,yes,1,winhexb64.exe@0x61e830
XWF_GetCellText,yes,yes,1,winhexb64.exe@0x61e840
XWF_GetColumnTitle,yes,yes,1,winhexb64.exe@0x61e850
XWF_GetComment,yes,yes,1,winhexb64.exe@0x61e863
XWF_GetDriveInfo,no,yes,0,
XWF_GetEvObj,yes,yes,1,winhexb64.exe@0x61e872
XWF_GetEvObjProp,yes,yes,1,winhexb64.exe@0x61e87f
XWF_GetEvObjReportTableAssocs,yes,yes,1,winhexb64.exe@0x61e890
XWF_GetEvent,yes,yes,1,winhexb64.exe@0x61e8ae
XWF_GetExtractedMetadata,yes,yes,1,winhexb64.exe@0x61e8bb
XWF_GetFileCount,yes,yes,1,winhexb64.exe@0x61e8d4
XWF_GetFirstEvObj,yes,yes,1,winhexb64.exe@0x61e8e5
XWF_GetHashSetAssocs,yes,yes,1,winhexb64.exe@0x61e8f7
XWF_GetHashValue,yes,yes,1,winhexb64.exe@0x61e90c
XWF_GetItemCount,yes,yes,1,winhexb64.exe@0x61e91d
XWF_GetItemInformation,yes,yes,1,winhexb64.exe@0x61e92e
XWF_GetItemName,yes,yes,1,winhexb64.exe@0x61e945
XWF_GetItemOfs,yes,yes,1,winhexb64.exe@0x61e955
XWF_GetItemParent,yes,yes,1,winhexb64.exe@0x61e964
XWF_GetItemSize,yes,yes,1,winhexb64.exe@0x61e976
XWF_GetItemType,yes,yes,1,winhexb64.exe@0x61e986
XWF_GetLabels,yes,yes,1,winhexb64.exe@0x61e996
XWF_GetMetadata,yes,yes,1,winhexb64.exe@0x61e9a4
XWF_GetMetadataEx,yes,yes,1,winhexb64.exe@0x61e9b4
XWF_GetNextEvObj,yes,yes,1,winhexb64.exe@0x61e9c6
XWF_GetProp,yes,yes,1,winhexb64.exe@0x61e9d7
XWF_GetRasterImage,yes,yes,1,winhexb64.exe@0x61e9e3
